song_id,stream_year,stream_month,stream_id,song,username
629U6,2009,NOVEMBER,SOVLGJY12A8C13FBED,I Will Love Again (JJ's Club Radio),dmelsomd
C0HAJ,2014,MARCH,SOMZWCG12A8C13C480,Brasas Vivas,ksciacovelli16
2NPIX,2012,JUNE,SOCIWDW12A8C13D406,Pink World,abraidford4
7CKHQ,2022,APRIL,SOXVLOJ12AB0189215,President Johnson,emartinson1e
UIQD9,2013,JANUARY,SONHOTT12A8C13493C,Candy Man,spalfriew
AV18H,2010,FEBRUARY,SOFSOCN12A8C143F5D,Deep Sea Creature,kburtonwood1o
6XY15,2010,OCTOBER,SOYMRWW12A6D4FAB14,Kolomeyke,gswinden2a
B47VB,2011,JULY,SOMJBYD12A6D4F8557,I'm Gone This Time,lbastone11
87AR8,2017,APRIL,SOHKNRJ12A6701D1F8,WKYA (drop),vburburough21
NCS9S,2022,JANUARY,SOIAZJW12AB01853F1,Broken-Down Merry-Go-Round,nskillen24
W2W31,2003,NOVEMBER,SOUDSGM12AC9618304,Stickin In My Eye,chazart3
OQCK0,2015,FEBRUARY,SOQHXMF12AB0182363,Charisma,kmatheson1h
F8PS7,2010,AUGUST,SOKEJEJ12A8C13E0D0,You Can Still Be Free,lcashell2o
AV18H,2016,SEPTEMBER,SOMUYGI12AB0188633,Deep Sea Creature,gcarmont2r
3I7NN,2018,OCTOBER,SORAMLE12AB017C8B0,She Fell Away (2009 Digital Remaster),nskillen24
6ZAIQ,2004,DECEMBER,SOBONFF12A6D4F84D8,Simon's Folly,bsorel2k
NCS9S,2021,AUGUST,SOHUOAP12A8AE488E9,Broken-Down Merry-Go-Round,sdeblasiism
ZQLMP,2010,MAY,SOUQQEA12A8C134B1B,Ota kiinni,pmcgarrie5
F2IC1,2011,JANUARY,SOILPQQ12AB017E82A,Everything Changes,zpracy1c
2NPIX,2010,FEBRUARY,SOXLBJT12A8C140925,Pink World,apickard18
OI21N,2018,JUNE,SOZVMJI12AB01808AF,Hate,spalfriew
23KLG,2017,JANUARY,SOWTBJW12AC468AC6E,Insatiable (Instrumental Version),apickard18
0M4MH,2011,APRIL,SOBEBDG12A58A76D60,Niev nietch nievitch,skeelinl
NH39Q,2008,SEPTEMBER,SOZCTXZ12AB0182364,Grim Prospects (Gross Prospects - Bad Trip Remix),kmatheson1h
V8KNX,2019,AUGUST,SOBBUGU12A8C13E95D,Eternamente Amame,gkrystofg
BEJUS,2014,MAY,SOBLGCN12AB0183212,No Control,abrayshayr
CSX4M,2003,AUGUST,SOPSWQW12A6D4F8781,Certain Things We Do,ciacovielli14
EXKYF,2010,JANUARY,SOZQDIU12A58A7BCF6,Entre Caníbales,ienriquesp
2D0PG,2006,DECEMBER,SONYPOM12A8C13B2D7,Face the Ashes,slanegran8
OUOJT,2006,DECEMBER,SOBZBAZ12A6D4F8742,Nashville Parthenon,lbeavon1w
ERICV,2014,JULY,SOVYKGO12AB0187199,Taryns Deepest Fear,sjosland22
2D0PG,2000,AUGUST,SOGNCJP12A58A80271,Face the Ashes,crobison1j
OR5JV,2010,AUGUST,SOLLHMX12AB01846DC,I Think My Wife Is Running Around On Me (Taco Hell),emartinson1e
2M0B2,2009,MARCH,SOYTPEP12AB0180E7B,Sense And Trick,sdobing1y
25EVD,2003,OCTOBER,SOGXHEG12AB018653E,Our Love Is Here To Stay,nskillen24
JL9VX,2017,AUGUST,SOOLYAZ12A6701F4A6,Spontanous Combustion,lgoodbarneh
UAH0Q,2019,JUNE,SOGOSOV12AF72A285E,Soul Deep,csnelling2g
0SG0H,2009,APRIL,SOJXVAH12A8C139700,Amalgama,hwoolner1f
6UV82,2008,FEBRUARY,SOVXMTN12A8C135A18,They Say (Album),kmatheson1h
NL577,2005,SEPTEMBER,SORSECL12AB0182267,Crawl Before You Ball (Album Version),laddis1k
24I1L,2016,MAY,SOOGFBZ12AC3DF7FF2,Relax,ienriquesp
9J18R,2007,SEPTEMBER,SOMSBGZ12AB018C4CB,(We Don't Need This) Fascist Groove Thang,laddis1k
NL577,2000,NOVEMBER,SONYRZV12AB018AF70,Crawl Before You Ball (Album Version),edemattia1z
7HVX3,2002,JULY,SONQBUB12A6D4F8ED0,Waiting,nbeetleso
5P8JY,2018,NOVEMBER,SOHGKJW12AC468A8BD,Medicate Myself,fmcaw7
GZS6B,2022,DECEMBER,SOINBCU12A6D4F94C0,Kassie Jones,slanegran8
X0WX0,2019,MARCH,SOTWVQT12A58A79650,Hell,bjeal2m
EXKYF,2016,JULY,SOTSEJY12AB0180F56,Entre Caníbales,lcashell2o
2D0PG,2004,MAY,SOTSETT12AB01863B8,Face the Ashes,bstockau15
2V5RW,2017,NOVEMBER,SOTUNMH12A6D4FA3E6,I See The Boys Of Summer,lcashell2o
JVGAS,2002,NOVEMBER,SOEPPKB12AB018418B,In A Subtle Way,bfarriar27
TMSTR,2002,MARCH,SOGKIWV12A6D4F86C4,The Emperor Falls,cheliot1s
DRVAZ,2001,JUNE,SOPHYIS12AAF3B35A3,Burning In The Aftermath,castles2n
XJ324,2009,AUGUST,SOFHBAR12A6701D0FE,Take A Look  (LP Version),ahavelin1v
V8KNX,2019,JANUARY,SOCPRKM12AB018A2FD,Eternamente Amame,emartinson1e
VZB4O,2016,APRIL,SOFGHAM12AB0186412,I Can't Stop Loving You,fmcaw7
